Timestamp,Gender,Have you ever done an online purchase?,Have you done an online purchase during last 6 months?,"If yes, how many different items have you purchased within those 6 months?",Choose the type of the product you have purchased most frequently.,What type of vendors you mainly purchase from?,Select the international e-commerce platform you mostly use for purchases.,Select the local e-commerce platform you mostly use for purchases.,"Have you directly purchased from the vendor's online ordering site, without going through a well-known e-commerce platform like above?",What device you normally use when doing online purchases?,What is the most common way you get to know about online purchasing sites?,What is the maximum amount you prefer to pay for an online purchase in LKR?,Rate your overall satisfaction about online purchases in a 1-5 scale (considering your past experience). 1 is not satisfied at all. 5 is extremely satisfied.
2018/06/15 10:31:02 AM GMT+5:30,Female,Yes,No,,"Bags, Jewellery or any other fashion accessories",Foreign,ebay,None,No,Mobile Devices,I search online when I get a requirement,1000 - 5000,4
2018/06/15 10:57:47 AM GMT+5:30,Female,No,No,,,,,,,,,,
2018/06/15 11:02:47 AM GMT+5:30,Female,Yes,Yes,clothing,"Wearables (dresses, watches, shoes etc.);Bags, Jewellery or any other fashion accessories",Foreign,ebay,kapruka.com,No,Laptops,Facebook,1000 - 5000,2
2018/06/15 11:22:11 AM GMT+5:30,Male,Yes,No,,"Electronic Devices/Computer Equipments;Books;Music, Movies, Video Games",Both,ebay,kapruka.com,No,Both,I search online when I get a requirement,5000 - 10000,4
2018/06/15 4:09:24 PM GMT+5:30,Male,Yes,Yes,2,"Wearables (dresses, watches, shoes etc.);Electronic Devices/Computer Equipments",Both,ebay,None,Yes,Laptops,I search online when I get a requirement,10000 - 30000,4
2018/06/15 6:43:11 PM GMT+5:30,Female,Yes,Yes,3,Homeware;toys,Both,Amazon,None,No,Laptops,I search online when I get a requirement,1000 - 5000,4
2018/06/15 10:35:31 PM GMT+5:30,Female,Yes,Yes,1,Electronic Devices/Computer Equipments,Local,Daraz,daraz.lk,No,Mobile Devices,Radio advert,10000 - 30000,2
2018/06/16 6:47:04 AM GMT+5:30,Female,Yes,Yes,4,"Wearables (dresses, watches, shoes etc.);Bags, Jewellery or any other fashion accessories;Electronic Devices/Computer Equipments;Health and Beauty Products",Both,AliExpress,None,No,Both,Facebook,5000 - 10000,4
2018/06/16 2:18:06 PM GMT+5:30,Male,No,Yes,3-Feb,,,,,,,,,
2018/06/16 2:18:27 PM GMT+5:30,Male,Yes,Yes,"Electronics, tools ","Bags, Jewellery or any other fashion accessories;Electronic Devices/Computer Equipments",Both,AliExpress,MyStore.lk,Yes,Mobile Devices,I search online when I get a requirement,1000 - 5000,4
2018/06/16 2:19:56 PM GMT+5:30,Male,Yes,Yes,2,"Wearables (dresses, watches, shoes etc.);Electronic Devices/Computer Equipments",Both,ebay,kapruka.com,No,Both,Facebook,5000 - 10000,4
2018/06/16 2:20:06 PM GMT+5:30,Male,Yes,Yes,"Electronics, tools ","Bags, Jewellery or any other fashion accessories;Electronic Devices/Computer Equipments",Both,AliExpress,MyStore.lk,Yes,Mobile Devices,I search online when I get a requirement,1000 - 5000,4
2018/06/16 2:27:52 PM GMT+5:30,Male,Yes,Yes,6,Electronic Devices/Computer Equipments,Foreign,ebay,None,No,Both,Facebook,1000 - 5000,4
2018/06/16 2:37:01 PM GMT+5:30,Male,Yes,Yes,4,Electronic Devices/Computer Equipments,Both,ebay,takas.lk,No,Laptops,Facebook,1000 - 5000,4
